Iteration,Parameters,Return
87/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
88/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
89/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
90/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
91/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
92/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
93/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
94/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
95/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
96/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
97/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
98/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
99/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
100/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
101/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
102/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
103/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
104/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
105/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
